fingerprint,delay,variance,times
05A48DCB220236FCCA21B432C3D4A1FCE8AFCEEB,0.258177691,0.036093794,11
05BA8ACD8536E2298FBD35503DE0059064A66898,0.328857583,0.002877431,12
05C32C5EE14454E0C4CD81DAE0F3DC32F729DA4B,0.336266977,0.035617309,52
05DD02B8B23881A4B627F6E9AF32735EE7C09181,0.289855133,0.002622068,6
05E15FF6930D656BB85744263D556657280D822E,0.227974077,0.008635509,26
05EA20BE14D0AC4F3D69DECF20F15A2E28353C0A,0.157361891,0.001501184,11
05EA56935F2740BDEDC6C67DF1D839A410E547A3,0.289176671,0.002424546,14
05FFA39D71DA116F7669EA4EE53A0BAEA315BA7F,0.22210515,0.002402717,4
0620C528138F289BBE25BF78EE25794B265D8143,0.442212453,0.00747232,19
0625BCA64F30EC2E1AC1C5021E651074257C2908,0.388613643,0.025093259,14
062F73860BAAE602B63299373B97F085A6417A78,0.35974528,0.049270395,20
0632EC43FEA8EA3F377FE2E34DA671746F1642DD,0.54669595,0.043059946,4
06353ACB9E2AC4D61F53DF152B6C0B5E946CA8AB,0.32110076,0.008373431,20
0645197737A373E6EFF2B9F47913DF06FA3B5310,0.338862908,0.004531553,13
064D183D34DECB84F72C4335B0C24D1E8946A9BA,0.26078124,0.005302083,5
06804E6383EE94E83C9453F39B1E524C272D6D84,0.299232976,0.004506958,17
06982775952105F9F1D91071264ECF6EA93D39F7,0.421930417,0.004595302,12
069DE6996E15B35B99BFAB40DA170C662140AECA,0.281157,0.001038415,2
06A0482D3DED57CE8E0131531B3DB44A8AEF683C,0.45608782,0.02252031,10
06A64BF11983B8323FF7EEDCE5C35A0543523B54,0.351772291,0.081823296,35
06A9826D82330E0D129E9EBB05936F908D698B76,0.28609352,0.002026119,5
06E72526BBE040C51C5ADFBAA07ADD9AEB5E1FA1,0.344131444,0.008300743,18
06EAC8981843984BE267EF22EC1313911BC32F3A,0.1040064,2.76E-05,1
06EC2C1669E5A811D9640E07CED5786DA50C5737,0.26576496,0.015141081,60
06FA2CF6B9F09D15BB616431E3D8B43DC84D82CE,0.3040649,0.003275597,4
0705F969B825FAE29BCEB3F692B0A4224DED82E0,0.3111926,0.002876958,2
07099FA5B742B85C8E99834F61D911DC9796DABF,0.26385276,0.005458078,15
070D86B7B777EE4418A19A47DCDAD1498AE6A416,0.3378086,0.001269593,4
07165EF072A9A3D8E47DFD3855B92407CC2A306F,0.33839705,0.013869534,8
071C4B6642B299A2D08AC79679121F2A3CB935DF,0.170154333,0.013691809,3
07282859B0183D2C96B9B6AA500DF4D51A7083B4,0.286206475,0.00595009,8
072E2883854ADA0C6B0FC1497544E529D9FD8373,0.3343826,0.003621557,9
0734A3E0AC512990958CC5BB8E677D83C42ECF69,0.180043533,0.012087468,3
074AA26D99291B0AB1334631756848553DF40709,0.409583929,0.036492414,14
075D50331B95190A7EC58FC9C570A34761196003,0.246123775,0.002601791,16
077C4A89A06F9560CED75BEF751BA2334378C3A3,0.436272967,0.011475426,12
07895E6DE9B3CBCB74B6CCF1ABB14BF112FF36F7,0.303875775,0.003277789,16
0799FD68296054634DC2B5883C0B1B7DCDBA36F9,0.139015,7.86E-05,1
079D94BAC901D49F579FD860EB58D0CD660B22F4,0.322816053,0.012478892,19
079FEA23A73530361DE677E05D6F15EC095907E3,0.322406533,0.005608262,3
07ACFB0801E4F74F5610F870B5FCBB5539DBCBD1,0.241112892,0.029980997,37
07B35BCCF6211E6D970A015012FC9A2C676848F9,0.0897643,2.98E-06,2
07B578A84E8E76FA75915B91E31B6E50E7FDDC90,0.4130092,0.007431176,1
07C17931AE2E17F95681FA2A91C7F7CDB068BF48,0.362812133,0.012202794,3
07C76EC5CC5CFDA80DE3082BC2F007105E2FC2EE,0.190461956,0.004235408,27
07D8ECD7305722EE37FA0A408BC0D2034B9BE07A,0.318811667,0.002929539,3
07DCECDF04BE5D470C615C8E1CCF086F74FC8CA6,0.07290044,0.000163966,5
07EBC8ECE0EABA3892C9BA5AEE4821D113A01893,0.6911856,0.216100823,1
07F0E652E4CCB0A0F1E88D0046ECB322E6318C86,0.283154895,0.011122162,38
0806B64E53BD3ED2F0BDB5EED8DBF81DF331F45A,0.2771705,0.033454192,2
0811AB09B32DA37DEB6EC17FB18F11E1842A2C0A,0.286129446,0.005364589,26
08244527B343461B522CF37203B885449ED83FD9,0.25677204,0.003805324,5
08394C4873C8A71BE9F53593F9B4AD694BFCDB90,0.244720125,0.006976572,8
